Location,Neighborhood,Theme,Keywords,Price,Notes,Address,Latitude,Longitude
Berlin Glas,Wedding,Glassblowing Workshop,"Hands-on, craft, artistic",€60–100,Beginner glass class with artists,"Berlin Glas, Wedding, Berlin, Germany",,
Panke Culture,Wedding,Street Art + Music,"Graffiti, live shows, community",Free / donation,Riverside courtyard with workshops and jam nights,"Panke Culture, Wedding, Berlin, Germany",,
Sprengelkiez,Wedding,Artsy Neighborhood Walk,"Cafés, vintage, eco shops",Free,"Explore shops like Supermarché, Coffee Circle","Sprengelkiez, Wedding, Berlin, Germany",52.542215,13.3569798
Vabali Spa,Mitte,Spa & Sauna,"Balinese-style, relaxation",€40–50,Luxurious sauna and pools with nude spa culture,"Vabali Spa, Mitte, Berlin, Germany",52.5284079,13.3588929
Mauerpark,Prenzlauer Berg,Flea Market,"Live music, vintage, street food",Free entry,Sunday highlight with multicultural performances,"Mauerpark, Prenzlauer Berg, Berlin, Germany",52.5437161,13.4019329
Rüyam Gemüse Kebap,Wedding,Food: Döner,"Local favorite, Turkish-German",€5–7,Juicy kebap with grilled veggies,"Rüyam Gemüse Kebap, Wedding, Berlin, Germany",,
Volkspark Rehberge,Wedding,Nature Park,"Green, ruins, cinema",Free,"Large park with WWII towers, picnics","Volkspark Rehberge, Wedding, Berlin, Germany",52.5533825,13.3325894
YAAM Berlin,Friedrichshain,Music & Food,"Afro-Caribbean, reggae, street art",Free–€10,Beach club vibes with food stalls,"YAAM Berlin, Friedrichshain, Berlin, Germany",52.509477,13.4300877
Silent Green,Wedding,Art Space,"Exhibition, café, cultural hub",Free–€10,Gallery and café in converted crematorium,"Silent Green, Wedding, Berlin, Germany",52.5456852,13.36649
Markthalle Neun,Kreuzberg,Street Food Hall,"Hip, global, gourmet",Free entry,Food stands from Berlin and beyond,"Markthalle Neun, Kreuzberg, Berlin, Germany",52.5021661,13.4314886
Urban Nation Museum,Schöneberg,Street Art Museum,"Colorful, modern, political",Free,Rotating murals and installations,"Urban Nation Museum, Schöneberg, Berlin, Germany",52.4986678,13.3566505
Kanaan,Prenzlauer Berg,Restaurant,Israeli-Palestinian fusion,€15–25,Shared plates and multicultural flair,"Kanaan, Prenzlauer Berg, Berlin, Germany",52.5436518,13.4198538
Ernst,Wedding,Michelin Dining,"Minimalist, high-end",€200+,Tiny tasting menu spot with seasonal focus,"Ernst, Wedding, Berlin, Germany",52.5446338,13.3679671
Eschenbräu,Wedding,Brewery,"Craft beer, courtyard",€4–6,Laid-back brewery with local vibe,"Eschenbräu, Wedding, Berlin, Germany",52.5434524,13.3597107
Kater & Goldfisch,Wedding,Cocktail Bar,"Quirky, cozy, local",€8–12,Inventive drinks in artsy setting,"Kater & Goldfisch, Wedding, Berlin, Germany",,
Berghain,Friedrichshain,Techno Club,"Iconic, minimalist, underground",€20+,"Selective entry, known for legendary parties","Berghain, Friedrichshain, Berlin, Germany",52.5111669,13.4430356
Sisyphos,Lichtenberg,Techno Club,"Outdoor, art, festival-like",€15–30,Riverside venue with a creative atmosphere,"Sisyphos, Lichtenberg, Berlin, Germany",52.4933258,13.4918987
RAW-Gelände,Friedrichshain,Alt Art Complex,"Street art, clubs, skate park",Free–€15,Repurposed train yard full of culture,"RAW-Gelände, Friedrichshain, Berlin, Germany",52.5070127,13.4543002
Urban Spree,Friedrichshain,Art Space,"Exhibitions, concerts, graffiti",Free–€10,Street art and live events,"Urban Spree, Friedrichshain, Berlin, Germany",52.5076116,13.451645
Papergirl Berlin,Various,Community Art,"Spontaneous, participatory, urban",Free,Art distributed to the public by bike,"Papergirl Berlin, Various, Berlin, Germany",,
Tim Raue,Kreuzberg,Michelin-Star Restaurant,"Asian-fusion, chic, upscale",€150–250,Two-star fine dining experience,"Tim Raue, Kreuzberg, Berlin, Germany",52.506883,13.3913836
SO36,Kreuzberg,Live Music Venue,"Punk, indie, LGBTQ+",€10–20,Historic and culturally rich performance space,"SO36, Kreuzberg, Berlin, Germany",52.5003909,13.4221612
Jewish Museum,Kreuzberg,Museum,"Jewish history, architecture",€8,Libeskind’s powerful design and exhibits,"Jewish Museum, Kreuzberg, Berlin, Germany",52.5018716,13.3962089
Karneval der Kulturen,Kreuzberg,Festival,"Multicultural, music, parade",Free,Annual celebration of Berlin’s diversity,"Karneval der Kulturen, Kreuzberg, Berlin, Germany",,
Schwules Museum,Kreuzberg,LGBTQ+ Museum,"Queer history, inclusive",€9,First of its kind museum,"Schwules Museum, Kreuzberg, Berlin, Germany",,
Tempelhofer Feld,Tempelhof,Public Park,"Cycling, urban picnic, open skies",Free,Old airfield turned massive park,"Tempelhofer Feld, Tempelhof, Berlin, Germany",52.4816528,13.3780349
Guzulka Restaurant,Neukölln,Ukrainian Restaurant,"Homestyle, cozy, authentic",€10–20,Borscht and Kyiv classics with a folk interior,"Guzulka Restaurant, Neukölln, Berlin, Germany",52.4219159,13.488845
Kashtan Café,Kreuzberg,Ukrainian Café,"Cocktails, filter coffee, cultural hub",€5–15,Hosts pop-ups and supports Ukrainian initiatives,"Kashtan Café, Kreuzberg, Berlin, Germany",,
Ukrainian Cultural Community,Various,Cultural Center,"Creative exchange, Europe-Ukraine",Free–€10,"Events, workshops, and social impact initiatives","Ukrainian Cultural Community, Various, Berlin, Germany",,
She Said Bookstore,Neukölln,Bookshop & Café,"Feminist, queer authors, curated space",Free,"Literature, events, and coffee with a progressive lens","She Said Bookstore, Neukölln, Berlin, Germany",,
